run,model,version,step,epoch,loss,learning_rate,source
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1410,0.20178890876565295,1.7591,6.719122556032427e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1420,0.20322003577817532,1.7517,6.76680972818312e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1430,0.20465116279069767,1.7883,6.814496900333812e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1440,0.20608228980322005,1.7401,6.862184072484503e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1450,0.2075134168157424,1.8379,6.909871244635194e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1460,0.20894454382826474,1.8319,6.957558416785886e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1470,0.21037567084078712,1.7347,7.005245588936577e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1480,0.21180679785330947,1.8405,7.052932761087268e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1490,0.21323792486583185,1.7581,7.10061993323796e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1500,0.2146690518783542,1.8717,7.148307105388651e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1510,0.21610017889087657,1.7009,7.195994277539342e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1520,0.21753130590339892,1.8556,7.243681449690034e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1530,0.2189624329159213,1.7712,7.291368621840725e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1540,0.22039355992844364,2.0344,7.339055793991416e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1550,0.22182468694096602,1.8937,7.386742966142108e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1560,0.22325581395348837,1.8792,7.434430138292799e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1570,0.22468694096601075,1.8175,7.48211731044349e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1580,0.2261180679785331,1.6691,7.529804482594182e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1590,0.22754919499105544,1.8447,7.577491654744873e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1600,0.22898032200357782,1.6103,7.625178826895566e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1610,0.23041144901610017,1.7655,7.672865999046256e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1620,0.23184257602862254,1.6866,7.720553171196949e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1630,0.2332737030411449,1.7812,7.76824034334764e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1640,0.23470483005366727,1.7796,7.815927515498332e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1650,0.23613595706618962,1.7294,7.863614687649023e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1660,0.237567084078712,1.9895,7.911301859799715e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1670,0.23899821109123434,1.6768,7.958989031950406e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1680,0.24042933810375672,1.8915,8.006676204101097e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1690,0.24186046511627907,1.8481,8.054363376251789e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1700,0.24329159212880144,1.5986,8.10205054840248e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1710,0.2447227191413238,1.7324,8.149737720553171e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1720,0.24615384615384617,2.0285,8.197424892703863e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1730,0.24758497316636852,1.5956,8.245112064854554e-05,final trainer_log.jsonl
